2025-07-10 22:27:58,162 [INFO] fetch_kline.py:81 筛选得到 2078 只股票
2025-07-10 22:27:58,163 [INFO] fetch_kline.py:335 开始抓取 2078 支股票 | 数据源:akshare | 频率:day | 日期:20190101 → 20250710
2025-07-10 22:28:49,374 [INFO] fetch_kline.py:81 筛选得到 2078 只股票
2025-07-10 22:28:49,376 [INFO] fetch_kline.py:335 开始抓取 2078 支股票 | 数据源:akshare | 频率:day | 日期:20250505 → 20250710
2025-07-10 22:30:16,021 [WARNING] fetch_kline.py:162 AKShare 拉取 002268 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:16,421 [WARNING] fetch_kline.py:162 AKShare 拉取 002266 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:17,202 [WARNING] fetch_kline.py:162 AKShare 拉取 002267 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:19,892 [WARNING] fetch_kline.py:162 AKShare 拉取 002268 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:20,694 [WARNING] fetch_kline.py:162 AKShare 拉取 002269 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:22,727 [WARNING] fetch_kline.py:162 AKShare 拉取 002269 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:23,412 [WARNING] fetch_kline.py:162 AKShare 拉取 002270 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:25,471 [WARNING] fetch_kline.py:162 AKShare 拉取 002270 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:25,809 [WARNING] fetch_kline.py:162 AKShare 拉取 002271 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:26,008 [WARNING] fetch_kline.py:162 AKShare 拉取 002269 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:27,740 [WARNING] fetch_kline.py:162 AKShare 拉取 002271 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:28,724 [WARNING] fetch_kline.py:162 AKShare 拉取 002270 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:31,211 [WARNING] fetch_kline.py:162 AKShare 拉取 002271 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:31,400 [WARNING] fetch_kline.py:162 AKShare 拉取 002272 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:32,036 [WARNING] fetch_kline.py:162 AKShare 拉取 002273 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:33,330 [WARNING] fetch_kline.py:162 AKShare 拉取 002272 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:33,611 [WARNING] fetch_kline.py:162 AKShare 拉取 002273 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:35,927 [WARNING] fetch_kline.py:162 AKShare 拉取 002273 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:36,593 [WARNING] fetch_kline.py:162 AKShare 拉取 002274 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:38,053 [WARNING] fetch_kline.py:162 AKShare 拉取 002272 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
